"ID_PROGRAM","NAZWA"
1,"The ENI Cross-border Cooperation Programme Poland-Belarus-Ukraine 2014-2020"
2,"The ENI Cross-border Cooperation Programme Poland-Russia 2014-2020"
3,"Program Współpracy Interreg V-A Polska – Słowacja"
4,"Program Współpracy Interreg V-A Polska – Saksonia"
5,"Program Operacyjny Inteligentny Rozwój"
6,"Program Operacyjny Infrastruktura i Środowisko 2014-2020"
7,"Program Operacyjny Polska Cyfrowa"
8,"Program Operacyjny Pomoc Techniczna 2014-2020"
9,"Program Operacyjny Polska Wschodnia"
10,"Program Operacyjny Wiedza Edukacja Rozwój"
11,"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020"
12,"Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego na lata 2014-2020"
13,"Regionalny Program Operacyjny – Lubuskie 2020"
14,"Regionalny Program Operacyjny Województwa Łódzkiego na lata 2014-2020"
15,"Regionalny Program Operacyjny Województwa Lubelskiego na lata 2014-2020"
16,"Regionalny Program Operacyjny Województwa Mazowieckiego na lata 2014-2020"
17,"Regionalny Program Operacyjny Województwa Małopolskiego na lata 2014-2020"
18,"Regionalny Program Operacyjny Województwa Opolskiego 2014-2020"
19,"Regionalny Program Operacyjny Województwa Podlaskiego na lata 2014-2020"
20,"Regionalny Program Operacyjny Województwa Podkarpackiego na lata 2014-2020"
21,"Regionalny Program Operacyjny Województwa Pomorskiego na lata 2014-2020"
22,"Regionalny Program Operacyjny Województwa Śląskiego na lata 2014-2020"
23,"Regionalny Program Operacyjny Województwa Świętokrzyskiego na lata 2014-2020"
24,"Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego na lata 2014-2020"
25,"Wielkopolski Regionalny Program Operacyjny na lata 2014 – 2020"
26,"Regionalny Program Operacyjny Województwa Zachodniopomorskiego 2014-2020"
27,"South Baltic Cross-border Co-operation Programme 2014-2020"
